source,target,Fisher_Z
Precuneus_L,Precuneus_R,1.6675
Cingulum_Mid_L,Cingulum_Mid_R,1.5947
Supp_Motor_Area_L,Supp_Motor_Area_R,1.5246
Paracentral_Lobule_L,Paracentral_Lobule_R,1.3717
Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,1.3215
Parietal_Sup_L,Precuneus_L,1.3119
Frontal_Mid_L,Frontal_Mid_R,1.3068
Frontal_Sup_L,Frontal_Sup_R,1.2801
Precentral_L,Precentral_R,1.247
Frontal_Sup_L,Frontal_Mid_L,1.2298
Precentral_R,Postcentral_R,1.2117
Parietal_Sup_L,Parietal_Sup_R,1.2079
Cingulum_Post_L,Cingulum_Post_R,1.1861
Postcentral_L,Postcentral_R,1.1653
Precentral_L,Postcentral_L,1.1652
Parietal_Sup_L,Precuneus_R,1.1506
Cingulum_Ant_L,Cingulum_Ant_R,1.1504
Parietal_Sup_R,Precuneus_L,1.1463
Frontal_Sup_R,Frontal_Mid_R,1.1459
Precentral_R,Postcentral_L,1.1391
Frontal_Inf_Oper_R,Frontal_Inf_Tri_R,1.1374
Frontal_Inf_Oper_L,Frontal_Inf_Tri_L,1.1362
Frontal_Sup_L,Supp_Motor_Area_L,1.1267
Postcentral_L,Parietal_Inf_L,1.1245
Parietal_Sup_R,Precuneus_R,1.1193
Parietal_Sup_L,Parietal_Inf_L,1.1168
Supp_Motor_Area_R,Cingulum_Mid_R,1.1149
Supp_Motor_Area_R,Paracentral_Lobule_L,1.1142
Postcentral_R,Paracentral_Lobule_R,1.097
Frontal_Sup_R,Frontal_Sup_Medial_R,1.0963
Frontal_Sup_L,Frontal_Mid_R,1.0954
Precentral_L,Frontal_Mid_L,1.0922
Cingulum_Mid_L,Precuneus_L,1.0859
Supp_Motor_Area_L,Cingulum_Mid_L,1.0836
Parietal_Sup_R,Parietal_Inf_R,1.0818
Cingulum_Mid_L,Precuneus_R,1.0758
Supp_Motor_Area_R,Paracentral_Lobule_R,1.0714
Cingulum_Mid_R,Precuneus_R,1.069
Postcentral_R,Precuneus_L,1.0636
Supp_Motor_Area_R,Cingulum_Mid_L,1.0555
Frontal_Sup_L,Frontal_Sup_Medial_L,1.0532
Frontal_Sup_R,Supp_Motor_Area_R,1.0522
Cingulum_Post_L,Precuneus_R,1.0513
Supp_Motor_Area_L,Cingulum_Mid_R,1.0481
Frontal_Sup_R,Supp_Motor_Area_L,1.0455
Precentral_L,Frontal_Mid_R,1.0423
Supp_Motor_Area_L,Paracentral_Lobule_L,1.0329
Precentral_R,Frontal_Mid_R,1.0313
Cingulum_Post_L,Precuneus_L,1.0294
Cingulum_Mid_R,Precuneus_L,1.0268
Frontal_Sup_R,Frontal_Mid_L,1.0251
Precentral_R,Cingulum_Mid_R,1.025
Postcentral_R,Precuneus_R,1.0158
Cingulum_Mid_R,Postcentral_R,1.0096
Postcentral_R,Paracentral_Lobule_L,1.0036
Precentral_R,Supp_Motor_Area_R,1.003
Precentral_R,Frontal_Inf_Oper_R,1.0017
Thalamus_L,Thalamus_R,0.9958
Cingulum_Mid_L,Postcentral_R,0.9956
Postcentral_L,Precuneus_L,0.9953
Cingulum_Mid_L,Postcentral_L,0.9925
Precentral_R,Cingulum_Mid_L,0.9913
Supp_Motor_Area_L,Postcentral_L,0.99
Precentral_L,Supp_Motor_Area_L,0.9855
Supp_Motor_Area_R,Postcentral_R,0.9816
Parietal_Inf_L,Precuneus_R,0.9801
Parietal_Inf_R,SupraMarginal_R,0.9796
Rolandic_Oper_L,Insula_L,0.9795
Postcentral_R,Parietal_Inf_R,0.9785
Parietal_Inf_L,Precuneus_L,0.9774
Precentral_L,Cingulum_Mid_L,0.9769
Precuneus_L,Paracentral_Lobule_R,0.9758
Precentral_R,Supp_Motor_Area_L,0.9719
Insula_L,Putamen_L,0.9719
Postcentral_L,Paracentral_Lobule_L,0.9704
