source,target,Fisher_Z,avg_r
Precuneus_L,Precuneus_R,1.6675,0.9312
Cingulum_Mid_L,Cingulum_Mid_R,1.5947,0.9209
Supp_Motor_Area_L,Supp_Motor_Area_R,1.5246,0.9095
Paracentral_Lobule_L,Paracentral_Lobule_R,1.3717,0.8791
Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,1.3215,0.8671
Parietal_Sup_L,Precuneus_L,1.3119,0.8647
Frontal_Mid_L,Frontal_Mid_R,1.3068,0.8635
Frontal_Sup_L,Frontal_Sup_R,1.2801,0.8565
Precentral_L,Precentral_R,1.247,0.8474
Frontal_Sup_L,Frontal_Mid_L,1.2298,0.8425
Precentral_R,Postcentral_R,1.2117,0.8372
Parietal_Sup_L,Parietal_Sup_R,1.2079,0.8361
Cingulum_Post_L,Cingulum_Post_R,1.1861,0.8294
Postcentral_L,Postcentral_R,1.1653,0.8227
Precentral_L,Postcentral_L,1.1652,0.8227
Parietal_Sup_L,Precuneus_R,1.1506,0.818
Cingulum_Ant_L,Cingulum_Ant_R,1.1504,0.8179
Parietal_Sup_R,Precuneus_L,1.1463,0.8165
Frontal_Sup_R,Frontal_Mid_R,1.1459,0.8164
Precentral_R,Postcentral_L,1.1391,0.8141
Frontal_Inf_Oper_R,Frontal_Inf_Tri_R,1.1374,0.8135
Frontal_Inf_Oper_L,Frontal_Inf_Tri_L,1.1362,0.8131
Frontal_Sup_L,Supp_Motor_Area_L,1.1267,0.8099
Postcentral_L,Parietal_Inf_L,1.1245,0.8091
Parietal_Sup_R,Precuneus_R,1.1193,0.8073
Parietal_Sup_L,Parietal_Inf_L,1.1168,0.8064
Supp_Motor_Area_R,Cingulum_Mid_R,1.1149,0.8058
Supp_Motor_Area_R,Paracentral_Lobule_L,1.1142,0.8055
Postcentral_R,Paracentral_Lobule_R,1.097,0.7994
Frontal_Sup_R,Frontal_Sup_Medial_R,1.0963,0.7991
Frontal_Sup_L,Frontal_Mid_R,1.0954,0.7989
Precentral_L,Frontal_Mid_L,1.0922,0.7977
Cingulum_Mid_L,Precuneus_L,1.0859,0.7954
Supp_Motor_Area_L,Cingulum_Mid_L,1.0836,0.7945
Parietal_Sup_R,Parietal_Inf_R,1.0818,0.7939
Cingulum_Mid_L,Precuneus_R,1.0758,0.7916
Supp_Motor_Area_R,Paracentral_Lobule_R,1.0714,0.79
Cingulum_Mid_R,Precuneus_R,1.069,0.7891
Postcentral_R,Precuneus_L,1.0636,0.787
Supp_Motor_Area_R,Cingulum_Mid_L,1.0555,0.7839
Frontal_Sup_L,Frontal_Sup_Medial_L,1.0532,0.7831
Frontal_Sup_R,Supp_Motor_Area_R,1.0522,0.7827
Cingulum_Post_L,Precuneus_R,1.0513,0.7823
Supp_Motor_Area_L,Cingulum_Mid_R,1.0481,0.7811
Frontal_Sup_R,Supp_Motor_Area_L,1.0455,0.78
Precentral_L,Frontal_Mid_R,1.0423,0.7788
Supp_Motor_Area_L,Paracentral_Lobule_L,1.0329,0.7751
Precentral_R,Frontal_Mid_R,1.0313,0.7744
Cingulum_Post_L,Precuneus_L,1.0294,0.7737
Cingulum_Mid_R,Precuneus_L,1.0268,0.7726
Frontal_Sup_R,Frontal_Mid_L,1.0251,0.7719
Precentral_R,Cingulum_Mid_R,1.025,0.7719
Postcentral_R,Precuneus_R,1.0158,0.7681
Cingulum_Mid_R,Postcentral_R,1.0096,0.7656
Postcentral_R,Paracentral_Lobule_L,1.0036,0.7631
Precentral_R,Supp_Motor_Area_R,1.003,0.7628
Precentral_R,Frontal_Inf_Oper_R,1.0017,0.7623
Thalamus_L,Thalamus_R,0.9958,0.7598
Cingulum_Mid_L,Postcentral_R,0.9956,0.7597
Postcentral_L,Precuneus_L,0.9953,0.7596
Cingulum_Mid_L,Postcentral_L,0.9925,0.7584
Precentral_R,Cingulum_Mid_L,0.9913,0.7579
Supp_Motor_Area_L,Postcentral_L,0.99,0.7573
Precentral_L,Supp_Motor_Area_L,0.9855,0.7554
Supp_Motor_Area_R,Postcentral_R,0.9816,0.7538
Parietal_Inf_L,Precuneus_R,0.9801,0.7531
Parietal_Inf_R,SupraMarginal_R,0.9796,0.7529
Rolandic_Oper_L,Insula_L,0.9795,0.7529
Postcentral_R,Parietal_Inf_R,0.9785,0.7524
Parietal_Inf_L,Precuneus_L,0.9774,0.7519
Precentral_L,Cingulum_Mid_L,0.9769,0.7517
Precuneus_L,Paracentral_Lobule_R,0.9758,0.7512
Precentral_R,Supp_Motor_Area_L,0.9719,0.7495
Insula_L,Putamen_L,0.9719,0.7496
Postcentral_L,Paracentral_Lobule_L,0.9704,0.7489
Frontal_Sup_L,Supp_Motor_Area_R,0.9661,0.747
Cingulum_Post_R,Precuneus_R,0.9636,0.7459
Postcentral_L,Precuneus_R,0.9625,0.7454
Cingulum_Mid_R,Postcentral_L,0.9586,0.7436
Precentral_L,Cingulum_Mid_R,0.958,0.7434
Cingulum_Mid_L,Paracentral_Lobule_R,0.952,0.7407
Frontal_Sup_R,Cingulum_Mid_R,0.9487,0.7392
Postcentral_R,Parietal_Sup_R,0.9464,0.7382
Frontal_Mid_R,Cingulum_Mid_R,0.9448,0.7374
Cingulum_Mid_R,Paracentral_Lobule_R,0.9424,0.7363
Cingulum_Mid_R,Cingulum_Post_L,0.9411,0.7357
Insula_L,Insula_R,0.9394,0.7349
Postcentral_R,Parietal_Sup_L,0.9393,0.7349
Parietal_Inf_R,Precuneus_L,0.9387,0.7346
Postcentral_L,Parietal_Sup_L,0.9364,0.7336
Precuneus_R,Paracentral_Lobule_R,0.9363,0.7335
Supp_Motor_Area_R,Postcentral_L,0.9354,0.7331
Cingulum_Mid_L,Paracentral_Lobule_L,0.9343,0.7326
Frontal_Sup_R,Frontal_Sup_Medial_L,0.9324,0.7317
Frontal_Mid_L,Supp_Motor_Area_L,0.9322,0.7316
Precentral_L,Frontal_Sup_L,0.9321,0.7316
Cingulum_Mid_L,Cingulum_Post_L,0.9321,0.7316
Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,0.9275,0.7294
Precuneus_L,Paracentral_Lobule_L,0.9268,0.7291
Postcentral_R,SupraMarginal_R,0.9257,0.7286
Postcentral_R,Parietal_Inf_L,0.9163,0.7242
Parietal_Inf_R,Precuneus_R,0.9161,0.7241
Precentral_L,Supp_Motor_Area_R,0.9138,0.7229
Frontal_Mid_R,Cingulum_Mid_L,0.9113,0.7218
Frontal_Sup_L,Frontal_Sup_Medial_R,0.9096,0.7209
Postcentral_L,Paracentral_Lobule_R,0.9086,0.7205
Frontal_Mid_L,Cingulum_Mid_L,0.9082,0.7203
Supp_Motor_Area_L,Postcentral_R,0.9069,0.7197
Precentral_R,Frontal_Mid_L,0.9068,0.7196
Rolandic_Oper_R,Insula_R,0.9068,0.7196
Precentral_R,Precuneus_R,0.9062,0.7193
Parietal_Sup_L,Parietal_Inf_R,0.9058,0.7191
Frontal_Sup_L,Cingulum_Mid_R,0.9041,0.7183
Insula_R,Putamen_R,0.8987,0.7156
Frontal_Sup_L,Cingulum_Mid_L,0.8981,0.7154
Precentral_L,Frontal_Inf_Oper_L,0.8971,0.7149
Precentral_L,Postcentral_R,0.8967,0.7147
Frontal_Mid_R,Supp_Motor_Area_L,0.8958,0.7142
Precentral_R,Precuneus_L,0.8957,0.7142
Cingulum_Mid_R,Cingulum_Post_R,0.8955,0.7141
Frontal_Sup_R,Cingulum_Mid_L,0.8896,0.7112
Frontal_Mid_R,Frontal_Sup_Medial_L,0.8895,0.7112
Supp_Motor_Area_R,Precuneus_L,0.8894,0.7111
Precentral_R,Frontal_Sup_R,0.8856,0.7092
Frontal_Mid_L,Cingulum_Mid_R,0.8795,0.7062
Parietal_Inf_L,Parietal_Inf_R,0.8774,0.7051
Cingulum_Post_R,Precuneus_L,0.8767,0.7047
Supp_Motor_Area_R,Precuneus_R,0.8764,0.7046
Precentral_L,Frontal_Inf_Oper_R,0.8737,0.7032
Frontal_Mid_L,Postcentral_L,0.8731,0.703
Frontal_Mid_R,Frontal_Sup_Medial_R,0.8731,0.7029
Precentral_R,Paracentral_Lobule_L,0.8709,0.7018
Cingulum_Mid_L,Parietal_Inf_L,0.8705,0.7016
Precentral_L,Frontal_Sup_R,0.8676,0.7002
Precentral_R,Paracentral_Lobule_R,0.8636,0.6981
Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,0.8624,0.6975
Precentral_L,Precuneus_L,0.8603,0.6964
Cingulum_Mid_R,Paracentral_Lobule_L,0.8597,0.6961
Supp_Motor_Area_L,Paracentral_Lobule_R,0.8586,0.6956
Supp_Motor_Area_L,Frontal_Sup_Medial_L,0.852,0.6921
Frontal_Sup_Medial_R,Cingulum_Ant_R,0.8506,0.6914
Precentral_L,Precuneus_R,0.8499,0.691
Parietal_Sup_R,Parietal_Inf_L,0.8497,0.6909
Frontal_Mid_R,Frontal_Inf_Oper_R,0.8492,0.6906
Supp_Motor_Area_L,Precuneus_L,0.8457,0.6888
Parietal_Inf_R,Angular_R,0.8453,0.6886
Frontal_Sup_R,Postcentral_R,0.843,0.6874
Frontal_Mid_R,Postcentral_L,0.842,0.6868
Precuneus_R,Paracentral_Lobule_L,0.8416,0.6866
Supp_Motor_Area_L,Precuneus_R,0.841,0.6863
Calcarine_L,Calcarine_R,0.8403,0.6859
