source,target,Fisher_Z
Precuneus_L,Precuneus_R,1.6552
Cingulum_Mid_L,Cingulum_Mid_R,1.5552
Supp_Motor_Area_L,Supp_Motor_Area_R,1.4441
Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,1.3073
Paracentral_Lobule_L,Paracentral_Lobule_R,1.275
Frontal_Sup_L,Frontal_Sup_R,1.2535
Frontal_Mid_L,Frontal_Mid_R,1.2397
Precentral_R,Postcentral_R,1.2089
Precentral_L,Postcentral_L,1.1936
Frontal_Sup_L,Frontal_Mid_L,1.1866
Precentral_L,Precentral_R,1.1771
Parietal_Sup_L,Precuneus_L,1.1755
Cingulum_Ant_L,Cingulum_Ant_R,1.1605
Frontal_Sup_R,Supp_Motor_Area_R,1.1472
Frontal_Sup_L,Frontal_Sup_Medial_L,1.1313
Cingulum_Post_L,Cingulum_Post_R,1.1229
Frontal_Sup_L,Supp_Motor_Area_L,1.1066
Precentral_R,Postcentral_L,1.0995
Frontal_Sup_R,Frontal_Mid_R,1.0994
Parietal_Sup_L,Precuneus_R,1.0922
Frontal_Sup_R,Frontal_Sup_Medial_R,1.0877
Postcentral_L,Postcentral_R,1.0819
Postcentral_R,Paracentral_Lobule_R,1.0714
Frontal_Inf_Oper_L,Frontal_Inf_Tri_L,1.0689
Parietal_Sup_R,Precuneus_R,1.0676
Postcentral_R,Precuneus_R,1.0674
Supp_Motor_Area_R,Cingulum_Mid_R,1.0658
Postcentral_L,Parietal_Inf_L,1.0655
Precentral_L,Frontal_Mid_L,1.0587
Parietal_Sup_L,Parietal_Sup_R,1.0577
Postcentral_R,Precuneus_L,1.0575
Frontal_Inf_Oper_R,Frontal_Inf_Tri_R,1.0516
Parietal_Sup_R,Parietal_Inf_R,1.0506
Cingulum_Post_L,Precuneus_L,1.0486
Precentral_L,Frontal_Mid_R,1.048
Supp_Motor_Area_R,Paracentral_Lobule_L,1.0466
Frontal_Sup_R,Supp_Motor_Area_L,1.0462
Insula_R,Putamen_R,1.0447
Parietal_Sup_R,Precuneus_L,1.0377
Frontal_Sup_L,Frontal_Mid_R,1.0338
Supp_Motor_Area_R,Paracentral_Lobule_R,1.0326
Cingulum_Post_L,Precuneus_R,1.0268
Supp_Motor_Area_L,Paracentral_Lobule_L,1.0217
Frontal_Sup_L,Supp_Motor_Area_R,1.021
Cingulum_Mid_L,Precuneus_L,1.0191
Insula_L,Putamen_L,1.0158
Cingulum_Mid_R,Precuneus_R,1.0142
Frontal_Sup_R,Frontal_Mid_L,1.0053
Precentral_R,Frontal_Mid_R,1.0025
Supp_Motor_Area_L,Cingulum_Mid_L,0.9999
Rolandic_Oper_R,Insula_R,0.9962
Cingulum_Mid_L,Precuneus_R,0.9946
Precentral_R,Supp_Motor_Area_R,0.9922
Supp_Motor_Area_L,Cingulum_Mid_R,0.9871
Precuneus_L,Paracentral_Lobule_R,0.9849
Precuneus_R,Paracentral_Lobule_R,0.9833
Parietal_Sup_L,Parietal_Inf_L,0.9811
Cingulum_Mid_R,Paracentral_Lobule_R,0.9806
Cingulum_Mid_R,Precuneus_L,0.9748
Frontal_Sup_L,Frontal_Sup_Medial_R,0.9678
Precentral_R,Frontal_Sup_R,0.9655
Frontal_Sup_R,Frontal_Sup_Medial_L,0.9604
Frontal_Sup_R,Cingulum_Mid_R,0.9602
Precentral_L,Supp_Motor_Area_L,0.9582
Postcentral_R,Parietal_Sup_L,0.9557
Cingulum_Post_R,Precuneus_R,0.9555
Supp_Motor_Area_R,Cingulum_Mid_L,0.9515
Precentral_R,Supp_Motor_Area_L,0.9454
Precentral_L,Frontal_Sup_L,0.9446
Cingulum_Mid_L,Cingulum_Post_L,0.9431
Precentral_R,Paracentral_Lobule_R,0.9426
Thalamus_L,Thalamus_R,0.9426
Cingulum_Mid_R,Cingulum_Post_L,0.9407
Supp_Motor_Area_R,Postcentral_L,0.9358
Precentral_L,Supp_Motor_Area_R,0.9326
Frontal_Sup_Medial_R,Cingulum_Ant_R,0.9324
Precentral_R,Cingulum_Mid_R,0.9322
Frontal_Sup_L,Cingulum_Mid_R,0.9276
Postcentral_R,Parietal_Sup_R,0.9212
Cingulum_Mid_L,Paracentral_Lobule_L,0.92
Postcentral_R,Paracentral_Lobule_L,0.919
Precentral_L,Frontal_Sup_R,0.9185
Rolandic_Oper_L,Insula_L,0.9181
Precentral_R,Paracentral_Lobule_L,0.9147
Precentral_R,Frontal_Inf_Oper_R,0.9142
Frontal_Mid_R,Cingulum_Mid_R,0.9127
Precentral_R,Precuneus_R,0.9101
Cingulum_Mid_R,Postcentral_R,0.9097
Cingulum_Mid_L,Paracentral_Lobule_R,0.9086
Postcentral_R,Parietal_Inf_L,0.9076
Parietal_Inf_L,Precuneus_L,0.9074
Supp_Motor_Area_R,Postcentral_R,0.9061
Postcentral_R,SupraMarginal_R,0.906
Supp_Motor_Area_L,Postcentral_L,0.903
Postcentral_R,Parietal_Inf_R,0.9024
Precentral_L,Cingulum_Mid_R,0.9023
Parietal_Inf_L,Precuneus_R,0.9015
Cingulum_Mid_L,Postcentral_L,0.9005
Cingulum_Mid_R,Paracentral_Lobule_L,0.8988
Precentral_R,Precuneus_L,0.8982
Postcentral_L,Paracentral_Lobule_R,0.8947
Precentral_R,Frontal_Sup_L,0.8945
Postcentral_L,Precuneus_L,0.8942
Putamen_L,Putamen_R,0.8926
Frontal_Sup_L,Postcentral_L,0.8924
Postcentral_L,Paracentral_Lobule_L,0.892
Cingulum_Mid_R,Postcentral_L,0.8878
Insula_L,Insula_R,0.8859
Precentral_L,Cingulum_Mid_L,0.8853
Postcentral_L,Precuneus_R,0.884
Parietal_Inf_R,Precuneus_L,0.8839
Frontal_Mid_L,Postcentral_L,0.8836
Frontal_Mid_R,Supp_Motor_Area_L,0.8832
Frontal_Sup_L,Cingulum_Mid_L,0.8806
Insula_L,Putamen_R,0.8794
Cingulum_Mid_L,Postcentral_R,0.8781
Frontal_Mid_R,Postcentral_L,0.8768
Frontal_Sup_Medial_L,Cingulum_Mid_R,0.8766
Frontal_Mid_R,Postcentral_R,0.8755
Frontal_Mid_L,Supp_Motor_Area_L,0.8732
Frontal_Sup_R,Postcentral_R,0.8708
Frontal_Mid_L,Frontal_Sup_Medial_L,0.8701
Frontal_Mid_R,Frontal_Sup_Medial_L,0.8699
Precentral_L,Postcentral_R,0.8697
Cingulum_Post_R,Precuneus_L,0.8666
Frontal_Mid_L,Cingulum_Mid_R,0.8647
Parietal_Inf_R,Precuneus_R,0.8612
Parietal_Inf_R,SupraMarginal_R,0.8599
Supp_Motor_Area_R,Precuneus_R,0.8596
Precuneus_L,Paracentral_Lobule_L,0.859
Precentral_R,Cingulum_Mid_L,0.8578
Frontal_Mid_L,Cingulum_Mid_L,0.8553
Frontal_Sup_Medial_L,Cingulum_Ant_R,0.8541
Precentral_R,Frontal_Mid_L,0.8538
Frontal_Mid_R,Cingulum_Mid_L,0.85
Frontal_Sup_R,Cingulum_Mid_L,0.8496
Frontal_Sup_Medial_L,Cingulum_Ant_L,0.8488
Postcentral_L,Parietal_Sup_L,0.8463
Parietal_Inf_L,Parietal_Inf_R,0.845
Supp_Motor_Area_R,Precuneus_L,0.8439
Cingulum_Mid_R,Cingulum_Post_R,0.8422
Cuneus_R,Occipital_Sup_R,0.8416
Supp_Motor_Area_L,Frontal_Sup_Medial_L,0.8401
Frontal_Mid_R,Supp_Motor_Area_R,0.8358
Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,0.8341
Frontal_Mid_L,Frontal_Sup_Medial_R,0.8318
Frontal_Mid_R,Frontal_Inf_Tri_R,0.8317
Frontal_Mid_L,Frontal_Inf_Tri_L,0.83
Parietal_Sup_L,Parietal_Inf_R,0.8299
Supp_Motor_Area_L,Paracentral_Lobule_R,0.829
Frontal_Sup_Medial_R,Cingulum_Mid_R,0.8284
Frontal_Sup_R,Postcentral_L,0.8239
Precentral_L,Paracentral_Lobule_L,0.8211
Frontal_Mid_L,Supp_Motor_Area_R,0.819
Precuneus_R,Paracentral_Lobule_L,0.8179
Frontal_Mid_R,Frontal_Sup_Medial_R,0.817
Supp_Motor_Area_R,Frontal_Sup_Medial_L,0.814
Frontal_Sup_L,Paracentral_Lobule_L,0.8127
Precentral_R,Parietal_Inf_L,0.8108
Supp_Motor_Area_L,Postcentral_R,0.8073
Supp_Motor_Area_R,Frontal_Sup_Medial_R,0.8066
Frontal_Sup_R,Precuneus_R,0.8028
Frontal_Mid_R,Precuneus_R,0.8027
Frontal_Mid_R,Precuneus_L,0.8021
Cuneus_L,Occipital_Sup_L,0.801
Frontal_Mid_R,Frontal_Inf_Oper_R,0.7994
Frontal_Sup_Medial_L,Cingulum_Mid_L,0.7978
Frontal_Sup_R,Precuneus_L,0.7971
Precentral_L,Parietal_Inf_L,0.797
Precentral_L,Frontal_Inf_Oper_L,0.7944
Cingulum_Mid_L,Cingulum_Post_R,0.7928
Insula_R,Putamen_L,0.791
Precentral_L,Precuneus_R,0.7908
Cingulum_Mid_L,Parietal_Inf_L,0.789
Supp_Motor_Area_L,Precuneus_L,0.7879
Calcarine_L,Calcarine_R,0.7866
Frontal_Sup_R,Paracentral_Lobule_L,0.7858
Precentral_L,Precuneus_L,0.7849
Parietal_Sup_L,Paracentral_Lobule_R,0.7845
Frontal_Sup_L,Postcentral_R,0.7811
Frontal_Inf_Oper_L,Insula_L,0.7784
Caudate_L,Caudate_R,0.7774
Supp_Motor_Area_L,Precuneus_R,0.7745
Precentral_L,Frontal_Inf_Oper_R,0.7737
Frontal_Sup_Medial_L,Postcentral_L,0.7733
Precentral_R,Cingulum_Post_L,0.7727
Frontal_Sup_Medial_R,Cingulum_Ant_L,0.7716
Parietal_Inf_L,Paracentral_Lobule_R,0.7681
Precentral_R,Parietal_Sup_L,0.7673
Frontal_Sup_R,Paracentral_Lobule_R,0.7652
Precentral_L,Paracentral_Lobule_R,0.7649
Cingulum_Mid_L,Parietal_Sup_L,0.7642
Precentral_L,Frontal_Sup_Medial_L,0.7639
Cingulum_Mid_R,Parietal_Sup_L,0.7618
Postcentral_L,SupraMarginal_L,0.761
Parietal_Sup_R,Parietal_Inf_L,0.7601
Parietal_Inf_L,SupraMarginal_L,0.7583
Cingulum_Mid_R,Parietal_Inf_L,0.7576
Frontal_Inf_Oper_L,Postcentral_L,0.7569
Parietal_Inf_L,Paracentral_Lobule_L,0.7568
Supp_Motor_Area_L,Frontal_Sup_Medial_R,0.7523
Putamen_L,Pallidum_L,0.7515
Frontal_Sup_L,Precuneus_R,0.7507
Frontal_Inf_Oper_R,Frontal_Sup_Medial_R,0.7468
Parietal_Inf_L,SupraMarginal_R,0.7445
Precentral_L,Cingulum_Post_L,0.7439
Frontal_Sup_L,Precuneus_L,0.7437
