Source,Target,Group,Avg_Fisher_Z,Avg_r
Precentral Gyrus,Inferior Temporal Gyrus (temporooccipital),Diagnosed,1.5149,0.9078
Cingulate Gyrus (anterior),Cingulate Gyrus (posterior),Diagnosed,1.3196,0.8667
Insular Cortex,Temporal Occipital Fusiform Cortex,Diagnosed,1.3074,0.8636
Postcentral Gyrus,Cingulate Gyrus (posterior),Diagnosed,1.2045,0.835
Inferior Temporal Gyrus (temporooccipital),Postcentral Gyrus,Diagnosed,1.1888,0.8302
Subcallosal Cortex,Paracingulate Gyrus,Diagnosed,1.1557,0.8196
Inferior Temporal Gyrus (temporooccipital),Superior Parietal Lobule,Diagnosed,1.1108,0.8043
Precentral Gyrus,Cingulate Gyrus (anterior),Diagnosed,1.0794,0.793
Superior Frontal Gyrus,Frontal Medial Cortex,Diagnosed,1.074,0.791
Inferior Temporal Gyrus (temporooccipital),Cingulate Gyrus (anterior),Diagnosed,1.0675,0.7885
Inferior Frontal Gyrus (pars opercularis),Temporal Fusiform Cortex (posterior),Diagnosed,1.0508,0.7821
Precentral Gyrus,Frontal Medial Cortex,Diagnosed,1.0493,0.7815
Superior Frontal Gyrus,Subcallosal Cortex,Diagnosed,1.0424,0.7788
Postcentral Gyrus,Cingulate Gyrus (anterior),Diagnosed,1.0418,0.7786
Inferior Frontal Gyrus (pars triangularis),Inferior Frontal Gyrus (pars opercularis),Diagnosed,1.0408,0.7782
Postcentral Gyrus,Supramarginal Gyrus (anterior),Diagnosed,1.0398,0.7778
Inferior Temporal Gyrus (temporooccipital),Cingulate Gyrus (posterior),Diagnosed,1.0271,0.7727
Superior Frontal Gyrus,Precentral Gyrus,Diagnosed,1.0264,0.7725
Superior Parietal Lobule,Supramarginal Gyrus (anterior),Diagnosed,1.0153,0.7679
Superior Frontal Gyrus,Middle Frontal Gyrus,Diagnosed,1.0137,0.7673
Angular Gyrus,Cingulate Gyrus (posterior),Diagnosed,1.0118,0.7665
Superior Parietal Lobule,Occipital Fusiform Gyrus,Diagnosed,1.0026,0.7627
