Source,Target,Group,Avg_Fisher_Z,Avg_r
Precentral Gyrus,Inferior Temporal Gyrus (temporooccipital),Subthreshold,1.5073,0.9065
Subcallosal Cortex,Paracingulate Gyrus,Subthreshold,1.3785,0.8806
Cingulate Gyrus (anterior),Cingulate Gyrus (posterior),Subthreshold,1.2794,0.8563
Insular Cortex,Temporal Occipital Fusiform Cortex,Subthreshold,1.2449,0.8468
Postcentral Gyrus,Cingulate Gyrus (posterior),Subthreshold,1.2441,0.8466
Angular Gyrus,Cingulate Gyrus (posterior),Subthreshold,1.2039,0.8348
Inferior Temporal Gyrus (temporooccipital),Postcentral Gyrus,Subthreshold,1.1812,0.8278
Precentral Gyrus,Frontal Medial Cortex,Subthreshold,1.1568,0.82
Postcentral Gyrus,Cingulate Gyrus (anterior),Subthreshold,1.1482,0.8172
Superior Frontal Gyrus,Frontal Medial Cortex,Subthreshold,1.1472,0.8168
Inferior Temporal Gyrus (temporooccipital),Cingulate Gyrus (anterior),Subthreshold,1.132,0.8117
Inferior Temporal Gyrus (temporooccipital),Superior Parietal Lobule,Subthreshold,1.1209,0.8079
Superior Parietal Lobule,Supramarginal Gyrus (anterior),Subthreshold,1.1014,0.801
Superior Frontal Gyrus,Precentral Gyrus,Subthreshold,1.0997,0.8004
Precentral Gyrus,Cingulate Gyrus (anterior),Subthreshold,1.0936,0.7982
Inferior Temporal Gyrus (temporooccipital),Cingulate Gyrus (posterior),Subthreshold,1.0829,0.7943
Frontal Pole,Subcallosal Cortex,Subthreshold,1.0803,0.7933
Inferior Frontal Gyrus (pars triangularis),Inferior Frontal Gyrus (pars opercularis),Subthreshold,1.0686,0.7889
Supramarginal Gyrus (anterior),Supramarginal Gyrus (posterior),Subthreshold,1.0631,0.7868
Postcentral Gyrus,Supramarginal Gyrus (anterior),Subthreshold,1.0338,0.7754
Inferior Frontal Gyrus (pars opercularis),Temporal Fusiform Cortex (posterior),Subthreshold,1.0301,0.774
Superior Frontal Gyrus,Middle Frontal Gyrus,Subthreshold,1.0024,0.7626
Inferior Temporal Gyrus (temporooccipital),Supramarginal Gyrus (anterior),Subthreshold,0.9855,0.7554
Postcentral Gyrus,Angular Gyrus,Subthreshold,0.9679,0.7478
Inferior Frontal Gyrus (pars triangularis),Temporal Fusiform Cortex (posterior),Subthreshold,0.9668,0.7473
Supramarginal Gyrus (anterior),Cingulate Gyrus (posterior),Subthreshold,0.9602,0.7444
Superior Frontal Gyrus,Cingulate Gyrus (anterior),Subthreshold,0.9554,0.7422
Paracingulate Gyrus,Cingulate Gyrus (anterior),Subthreshold,0.9443,0.7372
Precentral Gyrus,Cingulate Gyrus (posterior),Subthreshold,0.9398,0.7351
