Region,Sub_Degree,Sub_Betweenness,Sub_Closeness,Diag_Degree,Diag_Betweenness,Diag_Closeness,Degree_Diff,Abs_Diff
Occipital_Sup_R,10.304399999999998,15.0,0.2138694128873181,18.4425,50.0,0.1812799009109757,8.138100000000001,8.138100000000001
Angular_R,20.724400000000006,98.0,0.2391576260078682,27.9107,83.0,0.1994687892740902,7.186299999999992,7.186299999999992
Occipital_Mid_L,13.369100000000005,31.0,0.218117431401937,20.04659999999999,33.0,0.1836357684132389,6.677499999999986,6.677499999999986
Pallidum_R,7.745,5.0,0.2187145761073394,1.2005,0.0,0.1468207149567947,-6.5445,6.5445
Lingual_L,20.0652,228.0,0.2573899459596218,26.156,83.0,0.1995793197258739,6.090799999999998,6.090799999999998
Occipital_Sup_L,18.0652,32.0,0.2303929821186515,23.87,23.0,0.1901608397672473,5.8048,5.8048
Lingual_R,20.247000000000003,173.0,0.2619068738191785,25.931100000000004,16.0,0.2015507159023149,5.684100000000001,5.684100000000001
Temporal_Mid_L,7.288099999999999,95.0,0.2092907652522657,12.928100000000002,37.0,0.1697391030305421,5.640000000000003,5.640000000000003
Cerebelum_4_5_L,12.6808,358.0,0.2300086911066153,18.2412,160.0,0.1836586668347917,5.5604,5.5604
Frontal_Inf_Orb_L,9.984399999999996,236.0,0.2338730052223737,4.4474,100.0,0.1611934373368272,-5.5369999999999955,5.5369999999999955
Calcarine_R,25.258799999999994,4.0,0.2785006358947346,30.57669999999999,10.0,0.2129918658881511,5.317899999999998,5.317899999999998
Cuneus_R,19.1152,61.0,0.2449555632511007,24.3102,5.0,0.1929983671967106,5.194999999999997,5.194999999999997
Frontal_Inf_Orb_R,9.3221,145.0,0.2292265703874417,4.5469,151.0,0.1614436527907095,-4.775200000000001,4.775200000000001
Putamen_R,30.382600000000007,436.0,0.2960650882156778,25.7705,227.0,0.2002485713343789,-4.612100000000009,4.612100000000009
Angular_L,23.43859999999999,18.0,0.2471551379445475,27.9319,8.0,0.1986040097215731,4.4933000000000085,4.4933000000000085
Frontal_Inf_Oper_R,28.062399999999997,0.0,0.2772794894346905,32.4646,8.0,0.212091117714793,4.402200000000001,4.402200000000001
Cuneus_L,24.254100000000008,84.0,0.2600608411417687,28.5653,2.0,0.2031801673351772,4.311199999999992,4.311199999999992
Vermis_4_5,20.306200000000004,642.0,0.261661152022068,24.6149,592.0,0.1975504168010188,4.308699999999995,4.308699999999995
Caudate_R,28.57519999999999,31.0,0.282934270184245,24.2708,11.0,0.1959129206535469,-4.3043999999999905,4.3043999999999905
Parietal_Inf_R,26.795399999999994,1.0,0.2549446498796773,30.879799999999996,5.0,0.2019774452686779,4.084400000000002,4.084400000000002
Calcarine_L,24.5321,18.0,0.2692321256452297,28.446700000000003,20.0,0.2065866002412899,3.9146000000000036,3.9146000000000036
ParaHippocampal_L,5.7444,8.0,0.1992331094491172,9.3643,14.0,0.1587920094146582,3.6199000000000003,3.6199000000000003
Supp_Motor_Area_L,33.60900000000001,0.0,0.2809996586452035,37.1881,0.0,0.2109228301806115,3.5790999999999897,3.5790999999999897
Hippocampus_R,21.5024,86.0,0.2510568513490299,18.031899999999997,7.0,0.1813169681580767,-3.470500000000005,3.470500000000005
Cingulum_Ant_R,27.8378,11.0,0.2777745868275953,24.369,103.0,0.1994021615849313,-3.4688000000000017,3.4688000000000017
Cerebelum_4_5_R,5.6048,182.0,0.1968996444832157,9.0031,98.0,0.1649984385766592,3.3983,3.3983
Pallidum_L,9.1917,33.0,0.2271873032894415,5.889399999999999,6.0,0.1652554211543774,-3.3023000000000016,3.3023000000000016
Rolandic_Oper_R,29.71430000000001,64.0,0.2959509616360314,26.51130000000001,107.0,0.2050336438923954,-3.2029999999999994,3.2029999999999994
Temporal_Sup_R,23.1905,321.0,0.2629069121747079,19.994,116.0,0.1866252037566674,-3.1965000000000003,3.1965000000000003
Frontal_Med_Orb_R,6.5976,36.0,0.2024553945852987,3.4074,59.0,0.1445911695690943,-3.1902,3.1902
Cingulum_Mid_L,35.8973,0.0,0.2884334162352756,39.0404,0.0,0.2159384320515177,3.143099999999997,3.143099999999997
Frontal_Inf_Tri_L,26.8679,0.0,0.2740114879408792,23.7399,2.0,0.1946055851115196,-3.128,3.128
Frontal_Sup_Orb_R,5.6129,46.0,0.1987440129427211,2.5128999999999997,2.0,0.1193823936395057,-3.1,3.1
Thalamus_L,30.253000000000004,111.0,0.2930676425736812,27.172300000000007,76.0,0.200897616212327,-3.0806999999999967,3.0806999999999967
Postcentral_L,37.2272,0.0,0.3009844437123234,40.2702,34.0,0.2210196292546893,3.0429999999999993,3.0429999999999993
Frontal_Inf_Oper_L,27.5802,0.0,0.278246551955462,30.56189999999999,0.0,0.208217573615295,2.9816999999999894,2.9816999999999894
Supp_Motor_Area_R,34.1198,0.0,0.2825124476885189,37.048199999999994,0.0,0.2101623136021966,2.9283999999999963,2.9283999999999963
Cingulum_Mid_R,37.235499999999995,0.0,0.2934329687572413,40.05879999999999,0.0,0.2181851288750335,2.823299999999996,2.823299999999996
Temporal_Pole_Sup_R,3.8082,186.0,0.1912030019381881,1.0688,0.0,0.1415609106908713,-2.7394,2.7394
Frontal_Mid_R,34.85540000000001,0.0,0.2864800153538752,32.17560000000001,0.0,0.2032844557280465,-2.6798,2.6798
Cingulum_Post_R,32.62259999999999,3.0,0.291757630244072,35.0776,0.0,0.217359702429881,2.4550000000000054,2.4550000000000054
Cingulum_Post_L,34.696,32.0,0.2963145392444231,37.13290000000001,2.0,0.2193709489645356,2.4369000000000085,2.4369000000000085
SupraMarginal_R,29.63159999999999,21.0,0.2772753194843466,31.98590000000001,2.0,0.211185450091008,2.35430000000002,2.35430000000002
Fusiform_R,4.3506,194.0,0.1831466276979965,6.658200000000001,39.0,0.1564183981784965,2.3076000000000008,2.3076000000000008
Frontal_Mid_L,32.6043,0.0,0.2798480399462176,30.364300000000004,0.0,0.2002449262780501,-2.2399999999999984,2.2399999999999984
Frontal_Sup_L,35.796400000000006,0.0,0.295320890230949,33.575100000000006,0.0,0.2057168056108618,-2.2212999999999994,2.2212999999999994
Precentral_L,33.62960000000001,0.0,0.2826916737290462,35.77189999999999,15.0,0.2105502725255656,2.1422999999999774,2.1422999999999774
Parietal_Sup_R,23.718800000000005,16.0,0.2488122625203284,25.8561,22.0,0.1930602157642935,2.137299999999996,2.137299999999996
Rolandic_Oper_L,28.853900000000007,22.0,0.2940132994659262,30.957100000000004,24.0,0.2128472452381331,2.1031999999999975,2.1031999999999975
Parietal_Inf_L,33.5875,32.0,0.2866758644313665,35.64969999999999,13.0,0.21138803245925,2.06219999999999,2.06219999999999
Cerebelum_3_R,1.3025,0.0,0.1454794775836571,3.3151000000000006,22.0,0.133629142586756,2.012600000000001,2.012600000000001
Parietal_Sup_L,28.478,12.0,0.2609971910766167,30.460700000000003,6.0,0.1989558207929429,1.9827000000000012,1.9827000000000012
Precentral_R,35.632200000000005,1.0,0.287063971289795,37.6134,0.0,0.2140853773098339,1.981199999999994,1.981199999999994
Heschl_R,9.1973,10.0,0.2244714949310941,11.110500000000002,4.0,0.1725982835236117,1.9132000000000016,1.9132000000000016
Frontal_Inf_Tri_R,24.695500000000006,0.0,0.2637997703822168,26.5576,2.0,0.1975316745415909,1.8620999999999945,1.8620999999999945
Putamen_L,26.862500000000008,224.0,0.2833123381895496,28.70479999999999,81.0,0.2078166031288546,1.8422999999999838,1.8422999999999838
Temporal_Sup_L,24.91399999999999,387.0,0.2742781246463502,23.087300000000003,224.0,0.1940547436989172,-1.8266999999999882,1.8266999999999882
Precuneus_L,37.16499999999999,0.0,0.2913007127439037,38.9454,0.0,0.2137601923934869,1.7804000000000073,1.7804000000000073
Cingulum_Ant_L,26.097700000000003,10.0,0.2742935378949239,27.868199999999995,302.0,0.2052894326858493,1.7704999999999913,1.7704999999999913
Vermis_3,5.1309,178.0,0.1912130538570003,6.7995,198.0,0.1584498272071287,1.6686000000000005,1.6686000000000005
Frontal_Med_Orb_L,4.3795,25.0,0.1930987827530381,2.8007,137.0,0.140233707600776,-1.5788000000000002,1.5788000000000002
Frontal_Sup_Medial_R,31.6874,3.0,0.2821171854048458,33.2481,0.0,0.2136735430796815,1.5607000000000006,1.5607000000000006
Caudate_L,28.7751,51.0,0.2848928744390568,27.34359999999999,4.0,0.2010134777739327,-1.4315000000000069,1.4315000000000069
Insula_L,34.3918,759.0,0.319022978118524,35.805200000000006,85.0,0.2249006569568405,1.4134000000000029,1.4134000000000029
Fusiform_L,6.380499999999998,148.0,0.1938039065768239,5.0088,1.0,0.1532902019120135,-1.371699999999998,1.371699999999998
Cerebelum_3_L,2.3358,32.0,0.165020981573512,3.6751,4.0,0.1406202885123238,1.3393000000000002,1.3393000000000002
Temporal_Pole_Sup_L,5.279000000000001,63.0,0.2085893930876148,4.097499999999999,33.0,0.1619734208484875,-1.1815000000000015,1.1815000000000015
Insula_R,36.0392,63.0,0.3239974250685226,34.869099999999996,353.0,0.2225694411011733,-1.170100000000005,1.170100000000005
Occipital_Mid_R,1.9151,0.0,0.158607850288539,3.0031999999999996,1.0,0.1402135252902492,1.0880999999999996,1.0880999999999996
Temporal_Mid_R,4.8877,2.0,0.1987601598664617,3.9478,4.0,0.1490076444538031,-0.9398999999999997,0.9398999999999997
SupraMarginal_L,27.164200000000005,1.0,0.2759419022326886,28.0887,8.0,0.2019851592634381,0.9244999999999948,0.9244999999999948
Thalamus_R,26.0554,97.0,0.2678158606469187,25.1717,151.0,0.19555231324557,-0.8836999999999975,0.8836999999999975
Postcentral_R,37.25990000000002,7.0,0.2947166838382668,38.09200000000001,0.0,0.2159234035793909,0.8320999999999898,0.8320999999999898
Heschl_L,13.985500000000002,125.0,0.2341780579434936,13.191100000000002,27.0,0.1767000729144791,-0.7943999999999996,0.7943999999999996
Paracentral_Lobule_R,30.6817,10.0,0.2675833811175335,29.897,0.0,0.196900513655364,-0.7847000000000008,0.7847000000000008
Precuneus_R,38.84590000000001,0.0,0.3016186769584875,39.61449999999999,0.0,0.2177631215360243,0.7685999999999851,0.7685999999999851
ParaHippocampal_R,4.963399999999999,28.0,0.1933605797589932,4.4175,5.0,0.1515430873311737,-0.5458999999999987,0.5458999999999987
Frontal_Mid_Orb_R,2.3631,0.0,0.1508322221663106,1.8261,7.0,0.1151246293334869,-0.5370000000000001,0.5370000000000001
Frontal_Sup_R,35.7046,0.0,0.2911019585678939,35.227799999999995,2.0,0.2122210832916662,-0.47680000000000433,0.47680000000000433
Frontal_Sup_Orb_L,3.5039,718.0,0.1719675872704807,3.9535,30.0,0.1453995541152509,0.4496000000000002,0.4496000000000002
Olfactory_R,0.7719,184.0,0.0702842362818441,0.3452,0.0,0.0116249255018298,-0.4267,0.4267
Frontal_Mid_Orb_L,2.6539,0.0,0.1652379846476604,2.26,16.0,0.1216461420002371,-0.39390000000000036,0.39390000000000036
Paracentral_Lobule_L,31.643100000000008,4.0,0.2724532412624112,31.9655,3.0,0.2006734613043204,0.32239999999999114,0.32239999999999114
Olfactory_L,0.4463,0.0,0.0608106282434721,0.3452,0.0,0.0116249255018298,-0.10109999999999997,0.10109999999999997
Frontal_Sup_Medial_L,33.8279,0.0,0.2914306357395094,33.87859999999999,62.0,0.2136518412813319,0.050699999999991974,0.050699999999991974
Vermis_1_2,0.6677,0.0,0.12620447548035,0.6429,0.0,0.1086618072728828,-0.024799999999999933,0.024799999999999933
Hippocampus_L,19.486399999999993,23.0,0.2469283321450542,19.504,11.0,0.182311121410588,0.01760000000000872,0.01760000000000872
