Region,Sub_Mean_Residual,Diag_Mean_Residual,Residual_Diff,P_Value,P_Value_FDR,Significant_FDR,Effect_Size
Cerebelum_10_R,0.20395372579513565,-0.1551821826702118,-0.3591359084653475,0.014274969317471036,0.5263526770422021,False,-0.3198757763975155
Vermis_9,0.39998712926265395,-0.30433803313462787,-0.7043251623972818,0.015859534203888193,0.5263526770422021,False,-0.31490683229813654
Cerebelum_10_L,0.15340020160738377,-0.11671754470127031,-0.2701177463086541,0.016708332613651847,0.5263526770422021,False,-0.3124223602484473
Vermis_10,0.6828374381126321,-0.5195502246509156,-1.2023876627635477,0.019007019683427166,0.5263526770422021,False,-0.30621118012422355
Cerebelum_9_L,0.5914570643137358,-0.45002167936914694,-1.0414787436828827,0.022687615389750095,0.5263526770422021,False,-0.29751552795031055
Frontal_Sup_Orb_R,3.312348892346265,-2.520265461567811,-5.832614353914076,0.044761726274331476,0.8653933746370752,False,-0.2621118012422361
Frontal_Inf_Orb_L,3.1300957896126818,-2.38159462253139,-5.5116904121440715,0.06101150481890271,0.923503893699229,False,-0.2447204968944099
Olfactory_R,1.7576157716034186,-1.3373163479591235,-3.094932119562542,0.0636899237033951,0.923503893699229,False,-0.2422360248447204
Frontal_Inf_Orb_R,2.991256386522364,-2.2759559462670134,-5.267212332789377,0.08355820658866901,0.9598331592172795,False,-0.22608695652173916
Pallidum_R,3.3340494203982107,-2.536776732911684,-5.870826153309895,0.09810063780919046,0.9598331592172795,False,-0.21614906832298142
Temporal_Inf_L,2.00818886902538,-1.5279697916497452,-3.5361586606751256,0.11242119187779695,0.9598331592172795,False,-0.20745341614906843
Caudate_R,3.2084754686761103,-2.4412313348622545,-5.649706803538365,0.13320307259363687,0.9598331592172795,False,-0.19627329192546594
Amygdala_R,3.684034028338217,-2.803069369387779,-6.4871033977259955,0.15683855266168917,0.9598331592172795,False,-0.18509316770186346
Amygdala_L,1.9818089135039405,-1.5078980863616942,-3.4897069998656347,0.15683855266168917,0.9598331592172795,False,-0.18509316770186346
Cerebelum_6_L,2.0669604385350984,-1.5726872901897495,-3.6396477287248477,0.1788552728690782,0.9598331592172795,False,-0.17577639751552798
Temporal_Pole_Sup_L,1.6711126692263325,-1.271498770063515,-2.9426114392898475,0.1931291519811701,0.9598331592172795,False,-0.17018633540372674
Temporal_Pole_Sup_R,1.3539084313561671,-1.030147719510123,-2.3840561508662903,0.1931291519811701,0.9598331592172795,False,-0.17018633540372674
Cerebelum_8_L,-0.13040729664823236,0.09922294310191558,0.22963023975014796,0.19805732314752433,0.9598331592172795,False,-0.16832298136645973
Temporal_Pole_Mid_L,0.9545713539644761,-0.726304291059927,-1.6808756450244031,0.2064970142267315,0.9598331592172795,False,-0.16521739130434776
Cerebelum_6_R,2.785751470579715,-2.1195935102236967,-4.905344980803411,0.21696432039533697,0.9598331592172795,False,-0.16149068322981375
Thalamus_L,2.3157703097970255,-1.7619991487586,-4.0777694585556254,0.22053505140374263,0.9598331592172795,False,-0.160248447204969
Temporal_Sup_R,2.484043336969507,-1.890032973781146,-4.374076310750653,0.22053505140374263,0.9598331592172795,False,-0.160248447204969
Pallidum_L,2.258219519465703,-1.7182105039412987,-3.9764300234070014,0.2241477329207392,0.9598331592172795,False,-0.15900621118012426
Frontal_Mid_Orb_L,2.0442302608699103,-1.5553925897923224,-3.5996228506622328,0.2241477329207392,0.9598331592172795,False,-0.15900621118012426
Vermis_1_2,0.765092791840974,-0.5821358198790041,-1.347228611719978,0.2278025255831111,0.9598331592172795,False,-0.1577639751552795
Cerebelum_Crus1_L,1.4098209052036919,-1.072689819176723,-2.4825107243804148,0.2409254502973922,0.9598331592172795,False,-0.15341614906832302
Frontal_Med_Orb_R,2.3733460867822487,-1.805806805160406,-4.179152891942655,0.24671336432110202,0.9598331592172795,False,-0.151552795031056
Cerebelum_Crus2_L,0.08354780934514461,-0.06356898537130565,-0.14711679471645026,0.26463967918293463,0.9598331592172795,False,-0.14596273291925477
Caudate_L,1.9561644163927205,-1.4883859689944643,-3.444550385387185,0.26669759880504407,0.9598331592172795,False,-0.14534161490683228
Temporal_Mid_R,1.899280005113983,-1.445104351717161,-3.344384356831144,0.27082447205537996,0.9598331592172795,False,-0.14409937888198754
Hippocampus_L,2.068044035025363,-1.5735117657801698,-3.641555800805533,0.2792089556388111,0.9598331592172795,False,-0.14161490683229805
