source,target,Fisher_Z
Postcentral Gyrus,Cingulate Gyrus (posterior),1.5186
Central Opercular Cortex,Parietal Operculum Cortex,1.4133
Subcallosal Cortex,Paracingulate Gyrus,1.3722
Postcentral Gyrus,Cingulate Gyrus (anterior),1.3696
Precentral Gyrus,Inferior Temporal Gyrus (temporooccipital),1.3613
Insular Cortex,Temporal Occipital Fusiform Cortex,1.3537
Angular Gyrus,Cingulate Gyrus (posterior),1.3363
Superior Frontal Gyrus,Subcallosal Cortex,1.3223
Superior Frontal Gyrus,Frontal Medial Cortex,1.2952
Paracingulate Gyrus,Cingulate Gyrus (anterior),1.2914
Superior Frontal Gyrus,Precentral Gyrus,1.2711
Superior Temporal Gyrus (posterior),Parietal Operculum Cortex,1.2687
Superior Temporal Gyrus (posterior),Central Opercular Cortex,1.2665
Inferior Temporal Gyrus (temporooccipital),Postcentral Gyrus,1.2634
Cingulate Gyrus (anterior),Cingulate Gyrus (posterior),1.2613
Frontal Medial Cortex,Subcallosal Cortex,1.2533
Postcentral Gyrus,Angular Gyrus,1.2383
Precentral Gyrus,Supramarginal Gyrus (anterior),1.2222
Precentral Gyrus,Paracingulate Gyrus,1.2202
Middle Frontal Gyrus,Paracingulate Gyrus,1.216
Supramarginal Gyrus (posterior),Angular Gyrus,1.2118
Precentral Gyrus,Postcentral Gyrus,1.1927
Superior Frontal Gyrus,Middle Frontal Gyrus,1.1888
Precentral Gyrus,Frontal Medial Cortex,1.175
Middle Frontal Gyrus,Precentral Gyrus,1.1725
Superior Frontal Gyrus,Paracingulate Gyrus,1.1662
Postcentral Gyrus,Supramarginal Gyrus (anterior),1.1486
Precentral Gyrus,Subcallosal Cortex,1.1472
Supramarginal Gyrus (posterior),Cingulate Gyrus (posterior),1.1459
Superior Frontal Gyrus,Postcentral Gyrus,1.1426
Superior Frontal Gyrus,Inferior Temporal Gyrus (temporooccipital),1.1318
Supramarginal Gyrus (anterior),Supramarginal Gyrus (posterior),1.1298
Frontal Pole,Subcallosal Cortex,1.1224
Postcentral Gyrus,Paracingulate Gyrus,1.1197
Superior Frontal Gyrus,Cingulate Gyrus (posterior),1.1038
Supramarginal Gyrus (anterior),Subcallosal Cortex,1.0925
Frontal Medial Cortex,Paracingulate Gyrus,1.0814
Precentral Gyrus,Cingulate Gyrus (anterior),1.0771
Subcallosal Cortex,Cingulate Gyrus (anterior),1.0765
Supramarginal Gyrus (anterior),Cingulate Gyrus (anterior),1.0744
Cingulate Gyrus (posterior),Occipital Fusiform Gyrus,1.0718
Superior Frontal Gyrus,Supramarginal Gyrus (anterior),1.0706
Occipital Fusiform Gyrus,Parietal Operculum Cortex,1.0669
Postcentral Gyrus,Supramarginal Gyrus (posterior),1.0628
Middle Frontal Gyrus,Cingulate Gyrus (anterior),1.0597
Middle Frontal Gyrus,Cingulate Gyrus (posterior),1.0521
Supramarginal Gyrus (anterior),Paracingulate Gyrus,1.0498
Inferior Temporal Gyrus (temporooccipital),Supramarginal Gyrus (anterior),1.0479
Supramarginal Gyrus (anterior),Frontal Medial Cortex,1.0469
Superior Temporal Gyrus (posterior),Middle Temporal Gyrus (posterior),1.0441
